,start station name,end station name,count,start station latitude,start station longitude,end station latitude,end station longitude
0,Fairmount Ave,Sip Ave,123,40.72572613742557,-74.07195925712584,40.7253399253558,-74.06762212514876
223,Liberty Light Rail,Liberty Light Rail,106,40.711242299999995,-74.0557013,40.711242299999995,-74.0557013
599,McGinley Square,Sip Ave,112,40.7253399253558,-74.06762212514876,40.7311689,-74.0575736
818,Newport Pkwy,Newport Pkwy,123,40.728744799999994,-74.03210820000001,40.71835519823214,-74.03891444206238
1384,Sip Ave,Baldwin at Montgomery,108,40.73089709786179,-74.06391263008119,40.7236589,-74.0641943
